prompt,highest_score_img_reward,lowest_score_img_reward,baseline_score_img_reward,highest_score_hpsv,lowest_score_hpsv,baseline_score_hpsv,highest_score_clip,lowest_score_clip,baseline_score_clip,highest_score_aesthetic,lowest_score_aesthetic,baseline_score_aesthetic,lowest_accuracy_to_prompt,lowest_creativity_and_originality,lowest_visual_quality_and_realism,lowest_consistency_and_cohesion,lowest_emotional_or_thematic_resonance,lowest_overall_score,baseline_accuracy_to_prompt,baseline_creativity_and_originality,baseline_visual_quality_and_realism,baseline_consistency_and_cohesion,baseline_emotional_or_thematic_resonance,baseline_overall_score,highest_accuracy_to_prompt,highest_creativity_and_originality,highest_visual_quality_and_realism,highest_consistency_and_cohesion,highest_emotional_or_thematic_resonance,highest_overall_score
A pink colored giraffe.,1.5418400764465332,0.642265796661377,0.642265796661377,0.3027023077011108,0.3120718002319336,0.3120718002319336,31.85510635375977,27.36722946166992,27.36722946166992,4.554872989654541,3.9334640502929688,3.9334640502929688,10.0,9.0,10.0,10.0,10.0,9.8,10.0,9.0,10.0,10.0,10.0,9.8,9.0,7.0,8.0,10.0,7.0,8.2
A yellow colored giraffe.,0.982569456100464,-0.234562337398529,-0.234562337398529,0.2959224581718445,0.299552172422409,0.299552172422409,30.65863990783691,28.37718963623047,28.37718963623047,4.036927223205566,3.849098682403565,3.849098682403565,9.0,7.0,8.0,9.0,7.0,8.0,9.0,7.0,8.5,10.0,7.0,8.3,9.0,6.0,8.0,10.0,7.0,8.0
A brown colored giraffe.,0.3351590633392334,-0.1003702655434608,0.056253332644701,0.2952066659927368,0.2924531102180481,0.292603850364685,25.58152198791504,25.898645401000977,25.65691375732422,3.848400592803955,3.8994550704956055,4.308741569519043,10.0,5.0,9.0,10.0,7.0,8.2,10.0,7.0,9.0,10.0,8.0,9.0,10.0,5.0,9.0,10.0,7.0,8.2
A red car and a white sheep.,1.93706738948822,1.7119287252426147,1.84660005569458,0.3189821243286133,0.2825075984001159,0.3099038004875183,32.02571105957031,31.02482795715332,32.265743255615234,3.9478201866149902,3.594111919403076,3.675203800201416,10.0,3.0,6.0,9.0,3.0,6.2,9.0,8.0,8.0,9.0,7.0,8.2,10.0,6.0,8.0,9.0,7.0,8.0
A blue bird and a brown bear.,1.9295587539672852,1.7069849967956543,1.8189599514007568,0.3134564161300659,0.3140219449996948,0.3094674348831177,36.69292449951172,34.16954040527344,33.644554138183594,4.044788837432861,3.698064804077149,4.379164218902588,10.0,8.0,9.0,10.0,7.0,9.0,9.0,6.0,8.0,9.0,7.0,8.0,10.0,9.0,9.0,10.0,8.0,9.2
A green apple and a black backpack.,1.9318063259124756,1.7305606603622437,1.847610592842102,0.2844312489032745,0.2920832633972168,0.2911613583564758,30.788143157958984,32.168148040771484,32.676273345947266,3.429807662963867,3.4670968055725098,3.58468246459961,10.0,5.0,9.0,10.0,3.0,7.4,10.0,5.0,9.0,10.0,4.0,7.6,10.0,5.0,9.0,10.0,6.0,8.0
A green cup and a blue cell phone.,1.5087000131607056,-2.197171449661255,-2.024728775024414,0.3008569478988647,0.261292815208435,0.2564994692802429,29.083721160888672,24.64137077331543,23.81935691833496,3.856475830078125,3.5111002922058105,3.819911003112793,5.0,5.0,5.0,7.0,5.0,5.4,10.0,5.0,9.0,10.0,3.0,7.4,5.0,3.0,6.0,9.0,2.0,5.0
A yellow book and a red vase.,1.9546724557876587,-1.3630110025405884,-0.0787092596292495,0.3018990755081177,0.2933050394058227,0.2906358242034912,33.01594924926758,33.111480712890625,27.548416137695312,3.4260997772216797,3.979692935943603,3.31062650680542,10.0,9.0,8.0,9.0,8.0,8.8,10.0,7.0,9.0,10.0,8.0,8.8,10.0,7.0,9.0,10.0,8.0,8.8
A white car and a red sheep.,1.7653943300247192,-0.2954522371292114,1.2490919828414917,0.3049569725990295,0.3087349534034729,0.3161573410034179,29.96512794494629,32.60877227783203,30.552209854125977,3.480639934539795,3.267932415008545,3.526073932647705,7.0,9.0,7.0,10.0,7.0,8.0,7.0,6.0,8.0,9.0,6.0,7.0,5.0,6.0,8.0,9.0,7.0,7.0
A brown bird and a blue bear.,1.782033085823059,-1.3534663915634155,1.6417046785354614,0.324743390083313,0.2934890687465668,0.3170287013053894,33.735836029052734,27.333881378173828,35.976959228515625,3.7775893211364746,3.962679386138916,3.5549392700195312,4.0,5.0,9.0,10.0,6.0,6.8,10.0,6.0,8.0,10.0,7.0,8.2,10.0,9.0,8.0,10.0,8.0,9.0
A black apple and a green backpack.,1.8339728116989136,0.9804683327674866,0.9804683327674866,0.3031877875328064,0.2934217453002929,0.2934217453002929,32.306060791015625,31.075241088867188,31.075241088867188,3.632077693939209,3.118490695953369,3.118490695953369,2.0,9.0,9.0,10.0,8.0,7.0,10.0,5.0,9.0,10.0,3.0,7.4,2.0,8.0,9.0,9.0,7.0,7.0
A blue cup and a green cell phone.,0.8425050973892212,-2.1959402561187744,-2.1959402561187744,0.2976484298706054,0.2642558813095093,0.2642558813095093,31.50838279724121,22.2574405670166,22.2574405670166,3.60363245010376,3.9099369049072266,3.9099369049072266,10.0,5.0,8.0,10.0,3.0,7.2,5.0,3.0,7.0,9.0,2.0,5.0,5.0,3.0,7.0,9.0,2.0,5.0
A red book and a yellow vase.,1.915145993232727,-1.5860035419464111,-1.2615859508514404,0.3023778796195984,0.2817572951316833,0.28354212641716,31.06073951721191,25.98716163635254,29.46925926208496,3.247448444366455,3.2875332832336426,3.8442306518554688,5.0,3.0,6.0,9.0,3.0,5.2,5.0,5.0,8.0,9.0,7.0,7.0,10.0,8.0,9.0,10.0,7.0,8.8
A horse riding an astronaut.,1.979227900505066,1.9188786745071411,1.9188786745071411,0.3323924839496612,0.312928557395935,0.312928557395935,29.937423706054688,29.765634536743164,29.765634536743164,4.354435443878174,3.7191824913024902,3.7191824913024902,10.0,9.0,8.0,9.0,8.0,8.8,10.0,9.0,8.0,9.0,8.0,8.8,9.0,9.0,8.0,9.0,8.0,8.6
A pizza cooking an oven.,1.325988531112671,0.0870756953954696,1.3225356340408323,0.2900225520133972,0.2775255441665649,0.2850558757781982,22.746440887451172,24.834548950195312,22.069580078125,3.860919952392578,3.872150897979736,3.7520790100097656,9.0,6.0,9.0,9.0,7.0,8.0,9.0,6.0,8.0,9.0,7.0,8.0,9.0,6.0,8.0,9.0,7.0,7.8
A bird scaring a scarecrow.,1.845197677612305,-1.5889610052108765,0.6093368530273438,0.285501629114151,0.2621505260467529,0.2853468358516693,31.308927536010746,24.379390716552734,29.34168815612793,4.409048080444336,4.265849590301514,4.0902323722839355,4.0,5.0,8.0,9.0,6.0,6.0,8.0,9.0,9.0,10.0,8.0,8.8,9.0,8.0,8.0,9.0,8.0,8.4
A blue coloured pizza.,1.6918591260910034,0.8648548722267151,0.8915228843688965,0.290394514799118,0.2885647714138031,0.2937159538269043,32.226715087890625,32.23316192626953,32.32741165161133,3.829498767852783,3.658531665802002,3.843845844268799,9.0,6.0,9.0,10.0,7.0,8.2,10.0,9.0,8.0,10.0,7.0,8.8,9.0,7.0,8.0,9.0,6.0,8.0
Hovering cow abducting aliens.,1.9833288192749023,-0.4096324443817138,0.2853468060493469,0.3101704716682434,0.2750024795532226,0.2641898989677429,29.958297729492188,23.34972763061523,24.31065559387207,4.171775817871094,3.3550820350646973,3.902181625366211,10.0,9.0,9.0,10.0,9.0,9.4,9.0,8.0,8.5,9.0,8.0,8.5,8.0,9.0,8.0,9.0,8.0,8.4
A panda making latte art.,1.9479776620864868,1.52279531955719,1.8540630340576172,0.3076133728027344,0.3086574077606201,0.3048834800720215,28.49370384216309,30.092435836791992,26.983924865722656,3.824243068695069,3.4271907806396484,3.6235952377319336,7.0,8.0,9.0,9.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,8.4
A shark in the desert.,1.8993122577667236,1.757609724998474,1.7938038110733032,0.3148149251937866,0.3163230419158935,0.3061907291412353,28.73197364807129,30.25035858154297,29.121448516845703,3.5390491485595703,4.059783458709717,3.496140480041504,10.0,10.0,9.0,10.0,9.0,9.6,10.0,9.0,9.0,10.0,8.0,9.2,9.0,8.0,8.0,9.0,7.0,8.2
An elephant under the sea.,1.8147002458572388,1.6249209642410278,1.7389062643051147,0.31218421459198,0.3191571831703186,0.3067987263202667,28.11162757873535,26.702299118041992,28.32849884033203,3.9674110412597656,4.04169225692749,3.978668689727783,10.0,9.0,9.0,10.0,8.0,9.2,10.0,9.0,9.0,10.0,8.0,9.2,9.0,8.0,8.0,9.0,7.0,8.2
Rainbow coloured penguin.,1.9119036197662351,1.4932461977005005,1.4932461977005005,0.3156286180019378,0.2930891513824463,0.2930891513824463,31.983932495117188,30.20626449584961,30.20626449584961,3.791530132293701,3.745556354522705,3.745556354522705,9.0,8.0,9.0,10.0,8.0,8.8,10.0,9.0,9.0,10.0,9.0,9.4,10.0,9.0,8.0,10.0,8.0,9.0
A fish eating a pelican.,0.7008866667747498,-1.630133867263794,-1.630133867263794,0.2701207101345062,0.2620609998703003,0.2620609998703003,29.68338394165039,26.203950881958008,26.203950881958008,4.018463611602783,3.939227104187012,3.939227104187012,2.0,3.0,8.0,9.0,5.0,5.0,2.0,5.0,8.0,9.0,3.0,5.4,2.0,7.0,8.0,8.0,7.0,6.4
One car on the street.,1.2179067134857178,0.5685979127883911,0.5685979127883911,0.2910422086715698,0.2793771028518677,0.2793771028518677,22.725296020507812,22.10377311706543,22.10377311706543,4.109339714050293,3.6833767890930176,3.6833767890930176,10.0,8.0,9.0,9.0,8.0,8.8,9.0,6.0,8.0,9.0,7.0,7.8,9.0,5.0,8.0,8.0,6.0,7.2
Two cars on the street.,1.2806463241577148,-0.422392725944519,-0.422392725944519,0.3014865517616272,0.2717429995536804,0.2717429995536804,25.003202438354492,24.491174697875977,24.491174697875977,3.637304782867432,3.7553014755249023,3.7553014755249023,4.0,5.0,8.0,9.0,4.0,6.0,6.0,5.0,8.0,9.0,6.0,6.8,9.0,5.0,8.0,9.0,4.0,7.0
Three cars on the street.,1.5244446992874146,0.0709878727793693,0.0709878727793693,0.3045701384544372,0.2786022126674652,0.2786022126674652,25.315608978271484,21.60197639465332,21.60197639465332,4.045752048492432,4.121378421783447,4.121378421783447,6.0,4.0,7.0,9.0,5.0,6.0,6.0,4.0,7.0,9.0,5.0,6.0,9.0,6.0,9.0,10.0,7.0,8.2
Four cars on the street.,1.2400529384613037,-1.2183504104614258,0.5371279120445251,0.2945235669612884,0.2613965272903442,0.2851654291152954,23.21245765686035,21.32276153564453,24.27052879333496,3.664537906646729,3.327658176422119,4.041348934173584,10.0,6.0,9.0,10.0,7.0,8.4,6.0,5.0,8.0,9.0,7.0,7.0,8.0,5.0,9.0,9.0,5.0,7.2
Five cars on the street.,1.2091811895370483,-0.6738237738609314,0.5703982710838318,0.2844879031181335,0.2714793384075165,0.2851694226264953,22.045032501220703,22.20788192749023,23.520689010620117,4.373425483703613,4.322560787200928,3.7035694122314458,3.0,4.0,8.0,10.0,1.0,5.0,3.0,5.0,7.0,8.0,5.0,5.6,8.0,5.0,9.0,10.0,6.0,7.6
One dog on the street.,1.3531962633132937,0.2932771444320678,1.0672019720077517,0.2929832339286804,0.2890584468841553,0.2913169860839844,25.114765167236328,24.112295150756836,23.48415756225586,4.062529563903809,3.7515931129455566,4.096266746520996,9.0,6.0,9.0,10.0,7.0,8.2,10.0,5.0,9.0,10.0,6.0,8.0,10.0,8.0,9.0,10.0,8.0,9.0
Two dogs on the street.,1.3851491212844849,0.5236133933067322,1.3405578136444092,0.2945135831832886,0.2950286269187927,0.3033756911754608,27.217676162719727,27.574626922607425,27.073205947875977,3.641678810119629,3.92856502532959,3.721262454986572,10.0,7.0,9.0,9.0,7.0,8.4,10.0,6.0,9.0,9.0,7.0,8.2,9.0,6.0,8.0,9.0,7.0,7.8
Three dogs on the street.,1.4337711334228516,-0.1282267868518829,-0.1282267868518829,0.3163051605224609,0.2871546745300293,0.2871546745300293,29.27919006347656,21.97313690185547,21.97313690185547,4.070849418640137,4.181389331817627,4.181389331817627,2.0,5.0,5.0,3.0,3.0,3.6,6.0,5.0,8.0,9.0,4.0,6.4,10.0,5.0,9.0,10.0,8.0,8.4
Four dogs on the street.,1.6104085445404053,1.1017065048217771,1.308311939239502,0.2984288334846496,0.2927291393280029,0.3024605214595794,25.936796188354492,27.09676170349121,27.474288940429688,4.160146236419678,4.166321754455566,3.798986434936523,6.0,5.0,8.0,9.0,6.0,7.0,7.0,5.0,8.0,9.0,7.0,7.2,7.0,5.0,9.0,10.0,4.0,7.0
Five dogs on the street.,1.606344223022461,0.991558313369751,1.4044190645217896,0.3132988810539245,0.2914188504219055,0.3166948556900024,26.63434600830078,26.13416290283203,28.456314086914062,4.011771202087402,4.051973342895508,4.091985702514648,6.0,5.0,8.0,9.0,7.0,7.0,10.0,7.0,9.0,10.0,7.0,8.6,9.0,6.0,8.0,10.0,7.0,8.0
One cat and one dog sitting on the grass.,1.6894222497940063,0.1308051347732544,0.7823777198791504,0.3057120442390442,0.2900010943412781,0.2997264862060547,28.43442726135254,26.473529815673828,28.371187210083008,3.799782276153565,3.8301210403442383,3.932005882263184,10.0,5.0,9.0,10.0,8.0,8.4,7.0,5.0,9.0,10.0,8.0,8.0,10.0,6.0,9.0,10.0,8.0,8.6
One cat and two dogs sitting on the grass.,1.6061261892318726,-0.0741436928510665,1.267733454704285,0.3020569682121277,0.2929292619228363,0.3146194815635681,29.732513427734375,27.463415145874023,29.70208168029785,3.5875697135925293,3.803186416625977,3.7527265548706055,9.0,6.0,8.0,9.0,7.0,7.8,9.0,6.0,8.0,9.0,7.0,8.0,2.0,5.0,8.0,9.0,7.0,6.0
One cat and three dogs sitting on the grass.,1.7094802856445312,0.4712062776088714,0.4712062776088714,0.3101848661899566,0.2945383191108703,0.2945383191108703,29.087045669555664,31.037065505981445,31.037065505981445,3.8018083572387695,3.975137233734131,3.975137233734131,6.0,5.0,8.0,9.0,7.0,7.0,6.0,5.0,8.0,9.0,7.0,7.0,10.0,5.0,9.0,10.0,7.0,8.2
Two cats and one dog sitting on the grass.,1.7744269371032717,-0.2239883840084076,1.6247214078903198,0.3111410737037658,0.3075625896453857,0.3031890392303467,30.90152359008789,31.04294776916504,27.91094398498535,3.634233951568603,4.014781475067139,3.677804946899414,10.0,7.0,9.0,10.0,8.0,8.8,10.0,7.0,9.0,10.0,8.0,8.8,6.0,5.0,8.0,9.0,6.0,7.0
Two cats and two dogs sitting on the grass.,1.709901213645935,-0.8947312831878662,0.6808871030807495,0.3069543838500976,0.2845940589904785,0.3040789067745209,29.72759246826172,24.2387638092041,29.99708366394043,3.9712610244750977,3.878243923187256,3.9715518951416016,7.0,4.0,8.0,9.0,6.0,7.0,4.0,6.0,8.0,9.0,7.0,7.0,7.0,7.0,8.0,9.0,8.0,7.8
Two cats and three dogs sitting on the grass.,1.7816014289855957,0.0766380429267883,0.0766380429267883,0.3038508892059326,0.2907018363475799,0.2907018363475799,27.538421630859375,27.173913955688477,27.173913955688477,3.930973529815674,3.788763999938965,3.788763999938965,2.0,5.0,9.0,10.0,7.0,6.0,2.0,5.0,9.0,10.0,7.0,6.0,10.0,7.0,9.0,10.0,8.0,8.8
Three cats and one dog sitting on the grass.,1.8287371397018433,-0.2871345281600952,0.8553807735443115,0.3071144819259643,0.2970330119132995,0.2943834364414215,27.17753219604492,28.61466407775879,30.79427719116211,4.1436848640441895,4.321401596069336,4.164768218994141,7.0,5.0,8.0,9.0,7.0,7.0,6.0,7.0,9.0,9.0,8.0,7.8,8.0,7.0,9.0,9.0,8.0,8.2
Three cats and two dogs sitting on the grass.,1.7605656385421753,-0.2263981401920318,1.7605656385421753,0.3132541477680206,0.2931214570999145,0.3132541477680206,30.70649147033691,29.00982666015625,30.70649147033691,3.884757041931152,3.666802883148194,3.884757041931152,7.0,8.0,9.0,10.0,9.0,8.6,6.0,5.0,8.0,9.0,7.0,7.0,7.0,8.0,9.0,10.0,9.0,8.6
Three cats and three dogs sitting on the grass.,1.855861783027649,0.1165322288870811,1.35217022895813,0.3010655343532562,0.2897799015045166,0.2991277873516083,28.162437438964844,28.919931411743164,28.518768310546875,4.235256671905518,4.247342586517334,4.23524284362793,7.0,8.0,8.0,9.0,8.0,8.0,3.0,7.0,8.0,9.0,8.0,7.0,9.0,7.0,8.0,9.0,8.0,8.2
A triangular purple flower pot. A purple flower pot in the shape of a triangle.,1.8383264541625977,-1.239001989364624,-1.239001989364624,0.3148475885391235,0.2928935289382934,0.2928935289382934,36.49507522583008,31.04757308959961,31.04757308959961,3.5028634071350098,3.2812418937683105,3.2812418937683105,10.0,6.0,9.0,10.0,7.0,8.4,9.0,4.0,8.0,10.0,2.0,6.6,7.0,5.0,8.0,9.0,4.0,6.6
A triangular orange picture frame. An orange picture frame in the shape of a triangle.,1.891490578651428,-1.2522839307785034,-1.2522839307785034,0.2996937036514282,0.2718566358089447,0.2718566358089447,36.802364349365234,27.11682891845703,27.11682891845703,3.6454553604125977,3.284135341644287,3.284135341644287,10.0,5.0,9.0,10.0,5.0,8.0,10.0,5.0,9.0,10.0,5.0,8.0,3.0,5.0,6.0,7.0,4.0,5.0
A triangular pink stop sign. A pink stop sign in the shape of a triangle.,1.0861670970916748,-0.9172267317771912,0.7994128465652466,0.2986383140087127,0.280103862285614,0.2927073836326599,34.82430648803711,27.126707077026367,32.75574493408203,3.516998291015625,3.757493495941162,3.2370047569274902,10.0,9.0,8.0,10.0,7.0,8.8,10.0,7.0,8.0,9.0,6.0,8.0,4.0,5.0,7.0,9.0,3.0,5.6
A cube made of denim. A cube with the texture of denim.,1.8992953300476072,0.1777568310499191,0.1777568310499191,0.2813621759414673,0.2798305749893188,0.2798305749893188,29.805883407592773,27.709718704223633,27.709718704223633,3.5806756019592285,3.4527201652526855,3.4527201652526855,7.0,5.0,8.0,9.0,3.0,6.4,7.0,5.0,8.0,9.0,4.0,7.0,10.0,7.0,9.0,10.0,6.0,8.4
A sphere made of kitchen tile. A sphere with the texture of kitchen tile.,1.4919544458389282,-0.2434906065464019,0.3442318439483642,0.2740011811256408,0.2624391913414001,0.2636857628822326,26.37950325012207,25.505300521850582,26.13399314880371,3.9515552520751953,3.4575138092041016,3.639998435974121,9.0,6.0,8.0,10.0,4.0,7.4,7.0,9.0,7.0,8.0,5.0,7.0,9.0,7.0,8.0,9.0,5.0,8.0
A cube made of brick. A cube with the texture of brick.,1.710278034210205,1.0615730285644531,1.3525956869125366,0.2901488542556762,0.274623304605484,0.2850475907325744,29.1991024017334,28.754404067993164,28.26039123535156,3.868806362152099,3.819925308227539,3.798534870147705,10.0,5.0,9.0,10.0,4.0,7.6,9.0,6.0,8.0,10.0,5.0,7.6,10.0,5.0,9.0,10.0,3.0,7.4
A collection of nail is sitting on a table.,0.4343410730361938,-1.637176752090454,-0.2021936476230621,0.278620958328247,0.2742730677127838,0.2809789776802063,24.71131706237793,23.142290115356445,26.55190086364746,3.882385730743408,4.288871765136719,3.6779184341430664,7.0,8.0,7.0,8.0,5.0,7.0,9.0,7.0,8.0,9.0,6.0,8.0,9.0,6.0,8.0,9.0,5.0,7.4
A single clock is sitting on a table.,1.2384082078933716,0.7964223623275757,1.1057419776916504,0.3021189570426941,0.2961324155330658,0.3122878968715668,21.232282638549805,22.00210189819336,21.05536460876465,3.7152786254882817,3.7553248405456543,3.938543796539306,10.0,5.0,9.0,10.0,6.0,8.0,10.0,5.0,9.0,10.0,6.0,8.0,10.0,7.0,9.0,10.0,7.0,8.6
A couple of glasses are sitting on a table.,0.9028069972991944,0.1835354268550872,0.6885846853256226,0.2903166115283966,0.2849901914596557,0.2896904051303863,22.55155372619629,21.372472763061523,21.901309967041016,3.684506893157959,3.612964630126953,3.8264641761779785,9.0,6.0,9.0,10.0,7.0,8.2,10.0,5.0,9.0,10.0,7.0,8.2,10.0,6.0,9.0,10.0,7.0,8.4
An illustration of a large red elephant sitting on a small blue mouse.,-0.5814158320426941,-1.8529198169708252,-1.8529198169708252,0.312962532043457,0.3021128177642822,0.3021128177642822,31.53737449645996,28.063356399536133,28.063356399536133,3.5208234786987305,3.462522506713867,3.462522506713867,1.0,4.0,7.0,9.0,3.0,4.8,2.0,5.0,7.0,7.0,6.0,5.0,6.0,7.0,8.0,9.0,6.0,7.2
An illustration of a small green elephant standing behind a large red mouse.,1.6800239086151123,-0.3556418418884277,0.7517170906066895,0.3277588784694671,0.3142893314361572,0.3268521428108215,33.02923583984375,31.540903091430664,34.99786376953125,3.61848258972168,3.5252180099487305,3.852625370025635,2.0,7.0,8.0,9.0,7.0,6.6,6.0,9.0,9.0,10.0,8.0,8.4,3.0,7.0,8.0,9.0,6.0,6.6
A small blue book sitting on a large red book.,1.6120645999908447,0.9087542295455932,0.9087542295455932,0.2956715822219848,0.2927736639976501,0.2927736639976501,30.379234313964844,29.583778381347656,29.583778381347656,3.985417366027832,3.4920434951782227,3.4920434951782227,10.0,5.0,7.0,9.0,4.0,7.0,10.0,6.0,9.0,10.0,5.0,8.0,9.0,6.0,8.0,10.0,5.0,7.6
"A stack of 3 plates. A blue plate is on the top, sitting on a blue plate. The blue plate is in the middle, sitting on a green plate. The green plate is on the bottom.",0.5999935269355774,-1.582412600517273,-0.9393375515937804,0.2835948467254638,0.2651615738868713,0.2650468945503235,28.39394760131836,30.53989601135254,28.011436462402344,4.328575134277344,4.261814117431641,4.567211627960205,2.0,5.0,7.0,10.0,1.0,5.0,3.0,1.0,7.0,10.0,1.0,4.4,2.0,3.0,8.0,9.0,5.0,5.4
"A stack of 3 cubes. A red cube is on the top, sitting on a red cube. The red cube is in the middle, sitting on a green cube. The green cube is on the bottom.",1.755454421043396,-0.1284924149513244,-0.1284924149513244,0.2917340397834778,0.2845994830131531,0.2845994830131531,31.124969482421875,32.50419998168945,32.50419998168945,3.922906875610352,3.743347644805908,3.743347644805908,4.0,2.0,9.0,10.0,1.0,5.0,4.0,3.0,7.0,6.0,2.0,4.4,5.0,3.0,7.0,9.0,2.0,5.2
"A stack of 3 books. A green book is on the top, sitting on a red book. The red book is in the middle, sitting on a blue book. The blue book is on the bottom.",1.45689058303833,-1.2498838901519775,0.5559691190719604,0.2761813700199127,0.2549121081829071,0.28167325258255,26.430376052856445,22.55097198486328,23.77499008178711,3.5042285919189453,3.736674308776855,4.191108703613281,6.0,5.0,8.0,9.0,4.0,6.4,10.0,5.0,7.0,10.0,5.0,7.4,2.0,3.0,9.0,9.0,2.0,5.0
